,city,lat,lon,temp_max,humidity,clouds,wind,country,description
290,valls,41.29,1.25,59.0,71,0,5.82,ES,clear sky
291,surt,31.21,16.59,69.6,69,8,15.43,LY,clear sky
292,pedernales,18.04,-71.74,80.67,71,3,0.56,DO,light rain
293,port hedland,-20.32,118.57,82.4,58,32,8.05,AU,scattered clouds
294,sterling,39.01,-77.43,60.8,82,90,5.82,US,overcast clouds
295,ushtobe,45.25,77.98,36.54,80,61,14.16,KZ,broken clouds
296,atasu,48.68,71.64,30.09,95,100,12.82,KZ,overcast clouds
297,manaus,-3.1,-60.02,77.0,94,75,1.12,BR,broken clouds
298,gizo,-8.1,156.84,84.79,73,100,8.55,SB,overcast clouds
299,tuatapere,-46.13,167.68,57.99,70,100,8.99,NZ,overcast clouds
300,obanazawa,38.6,140.4,46.4,100,75,2.24,JP,fog
301,progreso,21.28,-89.67,78.8,94,90,4.7,MX,thunderstorm
302,quepos,9.42,-84.17,71.6,100,75,3.36,CR,light intensity drizzle
303,krasnoarmeysk,51.02,45.7,33.01,72,9,5.01,RU,clear sky
304,bud,39.45,-86.18,45.0,100,90,3.36,US,overcast clouds
305,bolgatanga,10.79,-0.85,76.73,37,78,0.04,GH,broken clouds
306,fez,34.04,-5.0,50.0,81,0,8.05,MA,clear sky
307,kununurra,-15.77,128.73,91.4,52,97,2.24,AU,overcast clouds
308,virginia beach,36.85,-75.98,64.4,88,90,6.26,US,mist
309,manitouwadge,49.12,-85.84,30.43,94,100,14.67,CA,overcast clouds
310,paciran,-6.88,112.38,85.1,67,98,6.89,ID,overcast clouds
311,funes,-32.92,-60.81,66.2,42,0,5.82,AR,clear sky
312,vila franca do campo,37.72,-25.43,62.6,63,75,6.93,PT,broken clouds
313,taganak,6.08,118.3,87.8,66,20,4.7,PH,few clouds
314,east london,-33.02,27.91,66.87,75,50,16.22,ZA,scattered clouds
315,sao joao da barra,-21.64,-41.05,74.52,91,100,13.6,BR,overcast clouds
316,minot,48.23,-101.3,42.8,86,20,14.99,US,few clouds
317,praia da vitoria,38.73,-27.07,62.6,72,75,5.53,PT,broken clouds
318,habiganj,24.38,91.42,78.58,79,0,3.31,BD,clear sky
319,nyurba,63.28,118.33,13.12,85,100,4.29,RU,overcast clouds
320,nhulunbuy,-12.23,136.77,89.6,55,40,12.75,AU,scattered clouds
321,soyo,-6.13,12.37,77.05,87,100,8.7,AO,overcast clouds
322,parana,-31.73,-60.52,64.0,60,0,1.99,AR,clear sky
323,vigrestad,58.57,5.7,46.99,86,100,7.0,NO,light rain
324,sarangani,5.4,125.46,78.71,78,100,0.11,PH,light rain
325,geraldton,-28.77,114.6,73.4,49,0,14.99,AU,clear sky
326,gazli,40.13,63.45,34.41,80,0,8.37,UZ,clear sky
327,victoria,22.29,114.16,78.01,71,100,1.01,HK,overcast clouds
328,dahra,36.25,0.85,53.6,81,0,5.64,DZ,clear sky
329,malakal,9.53,31.66,74.3,80,0,3.29,SS,clear sky
330,qaqortoq,60.72,-46.03,30.2,74,100,2.24,GL,overcast clouds
331,santa maria,-29.68,-53.81,60.8,82,0,3.36,BR,clear sky
332,wahiawa,21.5,-158.02,80.6,74,75,4.7,US,broken clouds
333,shenjiamen,29.96,122.3,67.6,72,5,10.87,CN,clear sky
334,cedar city,37.68,-113.06,39.2,21,1,9.17,US,clear sky
335,sidney,-33.87,151.21,66.99,77,75,10.29,AU,light rain
336,fort nelson,58.81,-122.7,28.4,86,40,0.04,CA,scattered clouds
337,kalmunai,7.42,81.82,81.3,73,2,6.22,LK,clear sky
338,petawawa,45.9,-77.33,32.0,98,90,3.36,CA,overcast clouds
339,hervey bay,-25.3,152.85,81.0,61,75,10.29,AU,broken clouds
340,goure,13.98,10.27,78.01,23,0,5.01,NE,clear sky
341,tazovskiy,67.47,78.7,-3.75,89,0,8.43,RU,clear sky
342,smithers,54.78,-127.17,37.4,100,90,2.24,CA,overcast clouds
343,birobidzhan,48.8,132.95,38.61,91,100,2.89,RU,light rain
344,itarema,-2.92,-39.92,77.58,82,100,10.49,BR,overcast clouds
345,norman wells,65.28,-126.83,12.2,92,20,5.82,CA,few clouds
346,stuttgart,48.78,9.18,48.99,75,40,4.7,DE,scattered clouds
347,esperance,-33.87,121.9,69.8,68,40,16.11,AU,scattered clouds
348,husavik,66.04,-17.34,35.6,80,90,6.93,IS,overcast clouds
349,coihaique,-45.58,-72.07,39.2,93,90,6.93,CL,light intensity shower rain
350,igpit,8.51,124.59,82.99,76,59,3.0,PH,broken clouds
351,baykit,61.67,96.37,14.59,92,100,14.32,RU,light snow
352,sioux lookout,50.1,-91.92,26.6,92,90,11.41,CA,overcast clouds
353,ternate,0.8,127.4,84.83,67,100,2.35,ID,overcast clouds
354,iracoubo,5.48,-53.2,80.85,79,7,9.82,GF,clear sky
355,upernavik,72.79,-56.15,15.96,78,0,5.82,GL,clear sky
356,linhares,-19.39,-40.07,73.06,97,98,3.83,BR,overcast clouds
357,aripuana,-9.17,-60.63,76.01,81,46,2.57,BR,scattered clouds
358,san jose,37.34,-121.89,69.01,24,0,0.4,US,clear sky
359,ken caryl,39.58,-105.12,32.0,54,15,1.01,US,few clouds
360,aguas vermelhas,-15.75,-41.46,68.59,92,73,3.74,BR,light rain
361,austin,30.27,-97.74,42.8,86,90,8.05,US,overcast clouds
362,haimen,23.19,116.61,77.0,69,0,2.24,CN,clear sky
363,astoria,46.19,-123.83,52.0,87,1,4.7,US,clear sky
364,brae,60.4,-1.35,50.0,81,1,13.87,GB,clear sky
365,coffs harbour,-30.3,153.13,69.8,73,90,8.05,AU,overcast clouds
366,lokvine,44.2,17.86,41.0,100,43,2.24,BA,scattered clouds
367,tarauaca,-8.16,-70.77,78.03,76,100,2.04,BR,overcast clouds
368,tabou,4.42,-7.35,77.68,87,100,4.36,CI,light rain
369,joshimath,30.57,79.57,53.55,32,0,2.98,IN,clear sky
370,abadan,30.34,48.3,68.38,23,0,6.91,IR,clear sky
371,qazanbulaq,40.62,46.65,55.4,87,75,2.59,AZ,broken clouds
372,iqaluit,63.75,-68.51,19.4,73,90,4.7,CA,light snow
373,lakes entrance,-37.88,147.98,64.0,74,26,7.0,AU,scattered clouds
374,kudahuvadhoo,2.67,72.89,82.98,76,86,14.83,MV,light rain
375,kandi,11.13,2.94,73.26,32,3,1.12,BJ,clear sky
376,kenai,60.55,-151.26,39.2,64,1,4.7,US,clear sky
377,touros,-5.2,-35.46,78.8,83,40,6.93,BR,scattered clouds
